Id,awards_won,first_award,,
1259,8,Oscar,,
1260,6,IITA,,
1261,0,National Award,,
1262,3,Emmy,,
1263,1,Emmy,,
1264,1,Oscar,,
1265,5,FilmFare,,
1266,7,National Award,,
1267,2,TVStars,,
1268,5,Emmy,,
1269,1,National Award,,
1270,4,Oscar,,
1271,4,IIFA,,
1272,5,TVStars,,
1273,7,Grammy,,
1274,3,Emmy,,
1275,0,Emmy,,
1276,8,CANNES,,
1277,3,CANNES,,
1278,2,Grammy,,
1279,0,TVStars,,
1280,1,National Award,,
1281,5,Grammy,,
1282,5,Oscar,,
1283,6,IITA,,
1284,4,Oscar,,
1285,2,TVStars,,
1286,6,IITA,,
1287,0,TVStars,,
1288,7,Grammy,,
1289,2,Grammy,,
1290,1,CANNES,,
1291,0,National Award,,
1292,6,TVStars,,
1293,5,Grammy,,
1294,4,FilmFare,,
1295,6,FilmFare,,
1296,4,National Award,,
1297,6,FilmFare,,
1298,2,Oscar,,
1299,5,IITA,,
1300,0,Grammy,,
1301,6,Oscar,,
1302,5,CANNES,,
1303,0,TVStars,,
1304,7,FilmFare,,
1305,2,IITA,,
1306,3,FilmFare,,
1307,6,IIFA,,
1308,3,IITA,,
1309,2,IIFA,,
1310,6,IIFA,,
1311,0,Oscar,,
1312,2,CANNES,,
1313,0,Emmy,,
1314,7,Emmy,,
1315,3,IITA,,
1316,3,IIFA,,
1317,8,FilmFare,,
1318,2,FilmFare,,
1319,2,Grammy,,
1320,8,FilmFare,,
1321,1,National Award,,
1322,0,Grammy,,
1323,8,Grammy,,
1324,8,Emmy,,
1325,8,Oscar,,
1326,4,CANNES,,
1327,1,IIFA,,
1328,8,FilmFare,,
1329,2,IITA,,
1330,6,IIFA,,
1331,7,IITA,,
1332,3,IIFA,,
1333,5,Grammy,,
1334,7,Grammy,,
1335,7,CANNES,,
1336,0,FilmFare,,
1337,6,Emmy,,
1338,7,National Award,,
1339,2,National Award,,
1340,3,IITA,,
1341,5,TVStars,,
1342,4,IITA,,
1343,1,Oscar,,
1344,6,Grammy,,
1345,4,TVStars,,
1346,6,Grammy,,
1347,2,IIFA,,
1348,1,IIFA,,
1349,8,Grammy,,
1350,6,IIFA,,
1351,2,IIFA,,
1352,0,IITA,,
1353,5,Emmy,,
1354,4,FilmFare,,
1355,6,FilmFare,,
1356,3,IITA,,
1357,6,Emmy,,
1358,6,National Award,,
1359,8,Emmy,,
1360,5,National Award,,
1361,6,Oscar,,
1362,3,FilmFare,,
1363,1,FilmFare,,
1364,3,Oscar,,
1365,1,Grammy,,
1366,5,TVStars,,
1367,8,TVStars,,
1368,1,Emmy,,
1369,4,Emmy,,
1370,6,Grammy,,
1371,1,National Award,,
1372,2,TVStars,,
1373,6,Emmy,,
1374,8,FilmFare,,
1375,0,National Award,,
1376,0,CANNES,,
1377,7,CANNES,,
1378,3,FilmFare,,
1379,0,Oscar,,
1380,2,IIFA,,
1381,4,CANNES,,
1382,6,FilmFare,,
1383,6,Emmy,,
1384,6,National Award,,
1385,3,IITA,,
1386,8,Grammy,,
1387,7,IIFA,,
1388,1,National Award,,
1389,5,Grammy,,
1390,5,Oscar,,
1391,7,IIFA,,
1392,8,IIFA,,
1393,2,FilmFare,,
1394,0,IIFA,,
1395,1,TVStars,,
1396,7,TVStars,,
1397,0,CANNES,,
1398,3,FilmFare,,
1399,7,Emmy,,
1400,0,IIFA,,
1401,3,FilmFare,,
1402,5,CANNES,,
1403,6,Emmy,,
1404,1,National Award,,
1405,0,Oscar,,
1406,6,CANNES,,
1407,2,IIFA,,
1408,8,IIFA,,
1409,2,TVStars,,
1410,7,CANNES,,
1411,0,IITA,,
1412,1,IIFA,,
1413,4,IITA,,
1414,7,National Award,,
1415,8,Oscar,,
1416,0,IIFA,,
1417,4,IITA,,
1418,2,IITA,,
1419,0,Oscar,,
1420,1,Emmy,,
1421,2,IITA,,
1422,4,FilmFare,,
1423,5,IITA,,
1424,4,CANNES,,
1425,4,Grammy,,
1426,0,FilmFare,,
1427,6,Grammy,,
1428,5,Grammy,,
1429,4,National Award,,
1430,0,FilmFare,,
1431,0,Oscar,,
1432,0,Oscar,,
1433,5,FilmFare,,
1434,1,TVStars,,
1435,4,National Award,,
1436,7,National Award,,
1437,1,FilmFare,,
1438,6,CANNES,,
1439,8,Grammy,,
1440,6,FilmFare,,
1441,2,TVStars,,
1442,6,CANNES,,
1443,0,Oscar,,
1444,6,TVStars,,
1445,3,National Award,,
1446,4,National Award,,
1447,2,Emmy,,
1448,5,CANNES,,
1449,8,IIFA,,
1450,5,Oscar,,
1451,4,CANNES,,
1452,3,IITA,,
1453,3,IITA,,
1454,1,CANNES,,
1455,3,Emmy,,
1456,7,IIFA,,
1457,5,CANNES,,
1458,1,IITA,,
1459,7,Oscar,,
1460,2,Oscar,,
1461,3,Oscar,,
1462,5,CANNES,,
1463,5,IITA,,
1464,8,TVStars,,
1465,2,FilmFare,,
1466,7,Emmy,,
1467,7,CANNES,,
1468,2,IIFA,,
1469,3,FilmFare,,
1470,4,Emmy,,
1471,8,Emmy,,
1472,7,Oscar,,
1473,2,Oscar,,
1474,7,Grammy,,
1475,3,CANNES,,
1476,0,TVStars,,
1477,5,FilmFare,,
1478,0,FilmFare,,
1479,8,Oscar,,
1480,3,TVStars,,
1481,0,FilmFare,,
1482,6,CANNES,,
1483,4,Grammy,,
1484,7,IIFA,,
1485,6,FilmFare,,
1486,6,TVStars,,
1487,5,IITA,,
1488,7,TVStars,,
1489,6,FilmFare,,
1490,5,TVStars,,
1491,7,Emmy,,
1492,0,National Award,,
1493,2,National Award,,
1494,0,CANNES,,
1495,2,CANNES,,
1496,7,Emmy,,
1497,4,Oscar,,
1498,4,TVStars,,
1499,7,CANNES,,
1500,6,Oscar,,
1501,8,CANNES,,
1502,5,Emmy,,
1503,5,IITA,,
1504,6,IIFA,,
1505,6,Emmy,,
1506,6,Oscar,,
1507,6,Grammy,,
1508,0,Grammy,,
1509,8,IITA,,
1510,4,CANNES,,
1511,5,CANNES,,
1512,7,IIFA,,
1513,8,Grammy,,
1514,3,Grammy,,
1515,6,IITA,,
1516,5,IITA,,
1517,6,FilmFare,,
1518,2,Oscar,,
1519,1,IIFA,,
1520,4,Grammy,,
1521,6,Emmy,,
1522,0,TVStars,,
1523,7,CANNES,,
1524,0,TVStars,,
1525,3,CANNES,,
1526,1,Oscar,,
1527,1,Emmy,,
1528,3,CANNES,,
1529,6,Oscar,,
1530,1,TVStars,,
1531,0,CANNES,,
1532,6,National Award,,
1533,7,IIFA,,
1534,1,Oscar,,
1535,3,IITA,,
1536,5,CANNES,,
1537,6,Oscar,,
1538,7,IITA,,
1539,7,FilmFare,,
1540,0,Emmy,,
1541,5,FilmFare,,
1542,6,CANNES,,
1543,2,TVStars,,
1544,8,Emmy,,
1545,6,TVStars,,
1546,5,IITA,,
1547,6,FilmFare,,
1548,6,IITA,,
1549,4,IIFA,,
1550,5,IIFA,,
1551,7,FilmFare,,
1552,4,IIFA,,
1553,6,IITA,,
1554,6,TVStars,,
1555,3,National Award,,
1556,1,IIFA,,
1557,6,National Award,,
1558,8,National Award,,
1559,5,Oscar,,
1560,2,Oscar,,
1561,2,National Award,,
1562,2,FilmFare,,
1563,1,Oscar,,
1564,0,IITA,,
1565,8,IITA,,
1566,3,FilmFare,,
1567,1,IITA,,
1568,0,IIFA,,
1569,8,Emmy,,
1570,3,Emmy,,
1571,3,IITA,,
1572,3,FilmFare,,
1573,8,TVStars,,
1574,8,IITA,,
1575,8,CANNES,,
1576,3,IIFA,,
1577,0,IITA,,
1578,2,CANNES,,
1579,8,FilmFare,,
1580,8,Oscar,,
1581,1,Emmy,,
1582,7,FilmFare,,
1583,5,Grammy,,
1584,6,FilmFare,,
1585,4,Grammy,,
1586,8,IITA,,
1587,1,Emmy,,
1588,1,Emmy,,
1589,2,CANNES,,
1590,5,Grammy,,
1591,5,Grammy,,
1592,6,FilmFare,,
1593,4,TVStars,,
1594,8,TVStars,,
1595,1,National Award,,
1596,1,Emmy,,
1597,7,IITA,,
1598,5,IIFA,,
1599,7,TVStars,,
1600,2,Grammy,,
1601,4,Emmy,,
1602,3,TVStars,,
1603,1,IITA,,
1604,0,CANNES,,
1605,2,TVStars,,
1606,1,CANNES,,
1607,2,Emmy,,
1608,8,Oscar,,
1609,3,Emmy,,
1610,6,CANNES,,
1611,4,CANNES,,
1612,3,FilmFare,,
1613,7,Emmy,,
1614,2,Oscar,,
1615,0,CANNES,,
1616,1,IIFA,,
1617,4,National Award,,
1618,0,Grammy,,
1619,6,Oscar,,
1620,6,Grammy,,
1621,0,Oscar,,
1622,6,IITA,,
1623,4,CANNES,,
1624,2,Oscar,,
1625,5,Emmy,,
1626,7,FilmFare,,
1627,4,TVStars,,
1628,3,Emmy,,
1629,1,FilmFare,,
1630,0,IIFA,,
1631,6,FilmFare,,
1632,6,IITA,,
1633,5,Oscar,,
1634,3,IIFA,,
1635,4,Grammy,,
1636,4,Oscar,,
1637,1,FilmFare,,
1638,7,IITA,,
1639,8,Oscar,,
1640,4,IIFA,,
1641,7,FilmFare,,
1642,4,Emmy,,
1643,8,FilmFare,,
1644,5,FilmFare,,
1645,5,Emmy,,
1646,0,FilmFare,,
1647,7,Grammy,,
1648,4,IIFA,,
1649,4,FilmFare,,
1650,2,National Award,,
1651,1,IIFA,,
1652,7,CANNES,,
1653,6,FilmFare,,
1654,0,Grammy,,
1655,7,Grammy,,
1656,3,Grammy,,
1657,6,TVStars,,
1658,4,National Award,,
1659,6,Oscar,,
1660,7,Emmy,,
1661,3,National Award,,
1662,4,TVStars,,
1663,4,IIFA,,
1664,5,TVStars,,
1665,8,Emmy,,
1666,4,IITA,,
1667,3,FilmFare,,
1668,8,CANNES,,
1669,6,Grammy,,
1670,7,National Award,,
1671,3,TVStars,,
1672,3,CANNES,,
1673,5,Grammy,,
1674,2,National Award,,
1675,7,Emmy,,
1676,1,IITA,,
1677,0,Oscar,,
1678,0,CANNES,,
1679,6,Grammy,,
1680,8,Emmy,,
1681,1,IITA,,
1682,8,IIFA,,
1683,5,Grammy,,
1684,8,IITA,,
1685,8,National Award,,
1686,0,Oscar,,
1687,8,National Award,,
1688,6,Oscar,,
1689,7,Emmy,,
1690,7,Emmy,,
1691,4,TVStars,,
1692,8,Grammy,,
1693,7,IIFA,,
1694,6,Oscar,,
1695,1,CANNES,,
1696,1,National Award,,
1697,5,FilmFare,,
1698,5,FilmFare,,
1699,4,National Award,,
1700,7,Emmy,,
1701,8,Emmy,,
1702,8,Oscar,,
1703,6,Grammy,,
1704,2,FilmFare,,
1705,0,FilmFare,,
1706,8,National Award,,
1707,0,Grammy,,
1708,3,FilmFare,,
1709,2,National Award,,
1710,7,IITA,,
1711,7,IIFA,,
1712,6,TVStars,,
1713,4,FilmFare,,
1714,4,FilmFare,,
1715,2,CANNES,,
1716,8,National Award,,
1717,0,Oscar,,
1718,7,IITA,,
1719,7,CANNES,,
1720,7,CANNES,,
1721,5,IIFA,,
1722,7,FilmFare,,
1723,1,National Award,,
1724,3,FilmFare,,
1725,1,FilmFare,,
1726,4,CANNES,,
1727,8,Oscar,,
1728,2,TVStars,,
1729,5,IIFA,,
1730,5,FilmFare,,
1731,1,Emmy,,
1732,3,Emmy,,
1733,3,Oscar,,
1734,2,CANNES,,
1735,7,Emmy,,
1736,8,National Award,,
1737,1,CANNES,,
1738,4,Emmy,,
1739,7,Emmy,,
1740,1,Oscar,,
1741,2,National Award,,
1742,4,FilmFare,,
1743,4,National Award,,
1744,5,IITA,,
1745,5,Grammy,,
1746,5,Grammy,,
1747,8,IITA,,
1748,1,FilmFare,,
1749,7,IIFA,,
1750,4,IITA,,
1751,7,TVStars,,
1752,8,TVStars,,
1753,4,FilmFare,,
1754,0,IITA,,
1755,8,CANNES,,
1756,8,Grammy,,
1757,5,Emmy,,
1758,7,Emmy,,
1759,8,Oscar,,
1760,2,FilmFare,,
1761,2,IIFA,,
1762,4,Oscar,,
1763,6,CANNES,,
1764,8,Oscar,,
1765,2,Grammy,,
1766,1,TVStars,,
1767,8,IIFA,,
1768,0,TVStars,,
1769,0,National Award,,
1770,0,Grammy,,
1771,6,Emmy,,
1772,8,Oscar,,
1773,3,Emmy,,
1774,0,Grammy,,
1775,1,CANNES,,
1776,3,Oscar,,
1777,6,Oscar,,
1778,6,CANNES,,
1779,7,FilmFare,,
1780,1,Emmy,,
1781,2,Grammy,,
1782,6,IIFA,,
1783,6,IITA,,
1784,4,Grammy,,
1785,2,CANNES,,
1786,1,FilmFare,,
1787,0,National Award,,
1788,4,IITA,,
1789,4,National Award,,
1790,6,IIFA,,
1791,0,CANNES,,
1792,6,IITA,,
1793,8,TVStars,,
1794,6,CANNES,,
1795,1,CANNES,,
1796,1,National Award,,
1797,1,Emmy,,
1798,7,Oscar,,
1799,7,IIFA,,
1800,8,TVStars,,
1801,3,FilmFare,,
1802,6,CANNES,,
1803,3,Emmy,,
1804,5,Grammy,,
1805,1,Emmy,,
1806,8,Emmy,,
1807,5,Grammy,,
1808,1,Emmy,,
1809,0,FilmFare,,
1810,5,National Award,,
1811,3,Emmy,,
1812,3,IITA,,
1813,8,IITA,,
1814,5,TVStars,,
1815,3,Emmy,,
1816,2,TVStars,,
1817,0,Oscar,,
1818,3,Oscar,,
1819,4,National Award,,
1820,5,TVStars,,
1821,6,Emmy,,
1822,3,FilmFare,,
1823,1,Grammy,,
1824,4,IIFA,,
1825,3,Oscar,,
1826,3,FilmFare,,
1827,0,IITA,,
1828,0,National Award,,
1829,7,FilmFare,,
1830,8,IITA,,
1831,5,Emmy,,
1832,2,TVStars,,
1833,0,Oscar,,
1834,6,Oscar,,
1835,1,National Award,,
1836,3,IITA,,
1837,3,Emmy,,
1838,3,Grammy,,
1839,2,IIFA,,
1840,8,Emmy,,
1841,7,National Award,,
1842,1,TVStars,,
1843,8,IIFA,,
1844,3,Grammy,,
1845,8,IITA,,
1846,0,Grammy,,
1847,0,Grammy,,
1848,5,IIFA,,
1849,2,FilmFare,,
1850,3,Grammy,,
1851,5,CANNES,,
1852,5,Oscar,,
1853,3,Grammy,,
1854,4,IIFA,,
1855,6,FilmFare,,
1856,0,Oscar,,
1857,3,Oscar,,
1858,8,National Award,,
1859,7,Grammy,,
1860,6,National Award,,
1861,8,CANNES,,
1862,1,Emmy,,
1863,1,IITA,,
1864,6,IIFA,,
1865,3,National Award,,
1866,3,IITA,,
1867,2,CANNES,,
1868,7,FilmFare,,
1869,0,FilmFare,,
1870,1,CANNES,,
1871,7,Grammy,,
1872,7,IITA,,
1873,1,IITA,,
1874,7,FilmFare,,
1875,2,IIFA,,
1876,4,Grammy,,
1877,2,Emmy,,
1878,3,National Award,,
1879,0,FilmFare,,
1880,5,FilmFare,,
1881,0,CANNES,,
1882,8,FilmFare,,
1883,2,Grammy,,
1884,8,IITA,,
1885,8,Emmy,,
1886,4,National Award,,
1887,1,Emmy,,
1888,6,CANNES,,
1889,1,Oscar,,
1890,6,Emmy,,
1891,7,National Award,,
1892,2,IITA,,
1893,7,Emmy,,
1894,8,National Award,,
1895,7,Grammy,,
1896,7,Grammy,,
1897,5,Oscar,,
1898,1,Emmy,,
1899,1,IITA,,
1900,0,National Award,,
1901,3,Oscar,,
1902,1,National Award,,
1903,0,Grammy,,
1904,5,CANNES,,
1905,0,National Award,,
1906,7,IITA,,
1907,5,CANNES,,
1908,6,Emmy,,
1909,6,Oscar,,
1910,5,Emmy,,
1911,2,Emmy,,
1912,0,Grammy,,
1913,5,Grammy,,
1914,3,Emmy,,
1915,8,IIFA,,
1916,3,FilmFare,,
1917,2,National Award,,
1918,3,IITA,,
1919,5,TVStars,,
1920,2,Oscar,,
1921,4,Grammy,,
1922,4,IIFA,,
1923,4,Emmy,,
1924,6,CANNES,,
1925,3,TVStars,,
1926,7,IITA,,
1927,3,IIFA,,
1928,0,Oscar,,
1929,8,Grammy,,
1930,3,Emmy,,
1931,1,IIFA,,
1932,4,National Award,,
1933,0,IIFA,,
1934,8,Emmy,,
1935,2,Oscar,,
1936,5,National Award,,
1937,4,TVStars,,
1938,1,National Award,,
1939,3,TVStars,,
1940,5,Emmy,,
1941,5,CANNES,,
1942,2,Oscar,,
1943,8,FilmFare,,
1944,2,Oscar,,
1945,7,CANNES,,
1946,5,CANNES,,
1947,2,IITA,,
1948,2,IITA,,
1949,5,TVStars,,
1950,8,FilmFare,,
1951,3,FilmFare,,
1952,4,Oscar,,
1953,3,Grammy,,
1954,1,National Award,,
1955,4,Grammy,,
1956,4,Grammy,,
1957,8,Grammy,,
1958,8,Grammy,,
1959,1,National Award,,
1960,4,CANNES,,
1961,1,Emmy,,
1962,6,CANNES,,
1963,7,TVStars,,
1964,5,IITA,,
1965,1,Oscar,,
1966,8,FilmFare,,
1967,3,Emmy,,
1968,3,IIFA,,
1969,1,IITA,,
1970,8,IIFA,,
1971,3,IITA,,
1972,0,CANNES,,
1973,5,FilmFare,,
1974,4,IITA,,
1975,4,National Award,,
1976,4,National Award,,
1977,2,Grammy,,
1978,5,Oscar,,
1979,1,Emmy,,
1980,8,IIFA,,
1981,1,TVStars,,
1982,3,FilmFare,,
1983,8,Emmy,,
1984,1,TVStars,,
1985,0,National Award,,
1986,0,Grammy,,
1987,7,CANNES,,
1988,3,Grammy,,
1989,4,Oscar,,
1990,1,CANNES,,
1991,0,Oscar,,
1992,2,IITA,,
1993,1,FilmFare,,
1994,1,National Award,,
1995,1,IIFA,,
1996,3,Grammy,,
1997,4,National Award,,
1998,6,CANNES,,
1999,6,National Award,,
2000,1,Oscar,,
2001,5,Oscar,,
2002,5,Grammy,,
2003,0,Grammy,,
2004,8,IITA,,
2005,7,TVStars,,
2006,3,IITA,,
2007,6,FilmFare,,
2008,0,Emmy,,
2009,2,IIFA,,
2010,5,Oscar,,
2011,0,Emmy,,
2012,7,Grammy,,
2013,6,CANNES,,
2014,6,Emmy,,
2015,2,TVStars,,
2016,3,TVStars,,
2017,8,IITA,,
2018,5,National Award,,
2019,4,TVStars,,
2020,7,Grammy,,
2021,0,IITA,,
2022,4,FilmFare,,
2023,7,Emmy,,
2024,7,Grammy,,
2025,7,Oscar,,
2026,5,IIFA,,
2027,2,National Award,,
2028,4,National Award,,
2029,2,TVStars,,
2030,3,TVStars,,
2031,3,Oscar,,
2032,4,TVStars,,
2033,5,IIFA,,
2034,3,Grammy,,
2035,6,Grammy,,
2036,1,TVStars,,
2037,2,TVStars,,
2038,6,IIFA,,
2039,3,FilmFare,,
2040,5,Grammy,,
2041,4,IIFA,,
2042,7,Emmy,,
2043,2,National Award,,
2044,7,Emmy,,
2045,3,IIFA,,
2046,0,CANNES,,
2047,8,National Award,,
2048,5,FilmFare,,
2049,3,Emmy,,
2050,7,Emmy,,
2051,6,CANNES,,
2052,2,National Award,,
2053,4,FilmFare,,
2054,3,Grammy,,
2055,3,Grammy,,
2056,2,Oscar,,
2057,1,IITA,,
2058,0,IITA,,
2059,6,Grammy,,
2060,8,CANNES,,
2061,2,National Award,,
2062,5,IIFA,,
2063,3,National Award,,
2064,0,CANNES,,
2065,5,FilmFare,,
2066,0,Grammy,,
2067,4,Oscar,,
2068,8,IITA,,
2069,4,FilmFare,,
2070,8,Grammy,,
2071,2,TVStars,,
2072,4,Grammy,,
2073,0,TVStars,,
2074,8,TVStars,,
2075,0,CANNES,,
2076,5,CANNES,,
2077,5,CANNES,,
2078,1,CANNES,,
2079,4,Emmy,,
2080,7,Grammy,,
2081,5,Grammy,,
2082,4,CANNES,,
2083,2,Oscar,,
2084,6,FilmFare,,
2085,6,TVStars,,
2086,0,National Award,,
2087,0,IIFA,,
2088,4,Grammy,,
2089,2,CANNES,,
2090,0,Emmy,,
2091,7,National Award,,
2092,7,TVStars,,
2093,5,IIFA,,
2094,8,Oscar,,
2095,0,CANNES,,
2096,1,IITA,,
2097,3,TVStars,,
2098,5,TVStars,,
2099,0,Oscar,,
2100,7,Emmy,,
2101,6,Oscar,,
2102,1,IITA,,
2103,5,CANNES,,
2104,1,National Award,,
2105,7,TVStars,,
2106,4,CANNES,,
2107,4,IIFA,,
2108,5,TVStars,,
2109,5,TVStars,,
2110,7,National Award,,
2111,6,Emmy,,
2112,2,IIFA,,
2113,1,National Award,,
2114,2,FilmFare,,
2115,6,IIFA,,
2116,6,FilmFare,,
2117,6,IITA,,
2118,8,Grammy,,
2119,7,Emmy,,
2120,1,IITA,,
2121,7,TVStars,,
2122,6,CANNES,,
2123,1,IITA,,
2124,5,Oscar,,
2125,2,CANNES,,
2126,6,IIFA,,
2127,3,National Award,,
2128,2,Grammy,,
2129,4,Emmy,,
2130,1,Oscar,,
2131,0,IITA,,
2132,0,Oscar,,
2133,2,CANNES,,
2134,4,National Award,,
2135,5,National Award,,
2136,1,IIFA,,
2137,3,Emmy,,
2138,5,FilmFare,,
2139,3,TVStars,,
2140,4,Emmy,,
2141,3,National Award,,
2142,8,IITA,,
2143,4,IITA,,
2144,2,TVStars,,
2145,6,CANNES,,
2146,6,IITA,,
2147,5,IIFA,,
2148,3,FilmFare,,
2149,0,Emmy,,
2150,2,FilmFare,,
2151,3,IITA,,
2152,1,Emmy,,
2153,7,CANNES,,
2154,5,National Award,,
2155,3,TVStars,,
2156,8,IIFA,,
2157,1,Grammy,,
2158,1,Emmy,,
2159,7,CANNES,,
2160,0,IIFA,,
2161,6,Grammy,,
2162,2,FilmFare,,
2163,2,Grammy,,
2164,7,Oscar,,
2165,2,IITA,,
2166,7,Grammy,,
2167,2,Grammy,,
2168,8,FilmFare,,
2169,8,IITA,,
2170,4,Oscar,,
2171,4,TVStars,,
2172,1,IIFA,,
2173,3,TVStars,,
2174,3,Oscar,,
2175,0,Grammy,,
2176,5,Grammy,,
2177,6,National Award,,
2178,6,CANNES,,
2179,5,CANNES,,
2180,8,IITA,,
2181,8,IITA,,
2182,2,FilmFare,,
2183,6,IIFA,,
2184,6,Grammy,,
2185,3,Oscar,,
2186,1,Grammy,,
2187,8,IIFA,,
2188,2,Oscar,,
2189,7,Grammy,,
2190,7,Emmy,,
2191,8,National Award,,
2192,0,Oscar,,
2193,1,CANNES,,
2194,6,FilmFare,,
2195,8,National Award,,
2196,0,IITA,,
2197,3,TVStars,,
2198,6,Grammy,,
2199,5,National Award,,
2200,6,Oscar,,
2201,8,Oscar,,
2202,0,National Award,,
2203,6,TVStars,,
2204,6,TVStars,,
2205,1,TVStars,,
2206,5,Emmy,,
2207,5,IIFA,,
2208,6,CANNES,,
2209,0,Oscar,,
2210,5,CANNES,,
2211,7,Grammy,,
2212,2,National Award,,
2213,6,Oscar,,
2214,5,IITA,,
2215,6,National Award,,
2216,1,Oscar,,
2217,7,TVStars,,
2218,4,Emmy,,
2219,6,Grammy,,
2220,6,IIFA,,
2221,7,Oscar,,
2222,2,Emmy,,
2223,0,Emmy,,
2224,8,FilmFare,,
2225,4,IIFA,,
2226,3,FilmFare,,
2227,6,IITA,,
2228,0,Emmy,,
2229,0,CANNES,,
2230,4,FilmFare,,
2231,0,CANNES,,
2232,6,TVStars,,
2233,1,CANNES,,
2234,3,IITA,,
2235,7,National Award,,
2236,6,CANNES,,
2237,6,TVStars,,
2238,5,National Award,,
2239,4,IITA,,
2240,4,IITA,,
2241,3,IIFA,,
2242,0,FilmFare,,
2243,6,Grammy,,
2244,6,TVStars,,
2245,4,Oscar,,
2246,5,IIFA,,
2247,4,National Award,,
2248,6,Grammy,,
2249,0,Emmy,,
2250,1,IIFA,,
2251,0,TVStars,,
2252,2,IITA,,
2253,4,TVStars,,
2254,1,IIFA,,
2255,6,CANNES,,
2256,3,IITA,,
2257,2,CANNES,,
2258,8,TVStars,,
2259,8,IITA,,
2260,4,TVStars,,
2261,7,Oscar,,
2262,7,IIFA,,
2263,5,National Award,,
2264,1,National Award,,
2265,1,TVStars,,
2266,8,Grammy,,
2267,8,IIFA,,
2268,6,Emmy,,
2269,4,CANNES,,
2270,6,FilmFare,,
2271,0,Oscar,,
2272,1,CANNES,,
2273,8,Oscar,,
2274,1,Oscar,,
2275,1,TVStars,,
2276,7,FilmFare,,
2277,5,Oscar,,
2278,0,Oscar,,
2279,6,Emmy,,
2280,0,TVStars,,
2281,5,Oscar,,
2282,5,CANNES,,
2283,7,IIFA,,
2284,4,National Award,,
2285,1,Grammy,,
2286,3,IITA,,
2287,1,Emmy,,
2288,8,IITA,,
2289,4,TVStars,,
2290,6,National Award,,
2291,2,National Award,,
2292,8,CANNES,,
2293,1,Grammy,,
2294,0,TVStars,,
2295,6,IIFA,,
2296,7,IITA,,
2297,2,IITA,,
2298,0,CANNES,,
2299,1,Emmy,,
2300,7,National Award,,
2301,1,Grammy,,
2302,5,TVStars,,
2303,7,National Award,,
2304,0,TVStars,,
2305,0,Oscar,,
2306,1,National Award,,
2307,5,TVStars,,
2308,4,IIFA,,
2309,5,IITA,,
2310,7,Emmy,,
2311,7,CANNES,,
2312,8,CANNES,,
2313,5,TVStars,,
2314,1,FilmFare,,
2315,7,CANNES,,
2316,0,FilmFare,,
2317,4,FilmFare,,
2318,8,National Award,,
2319,0,Emmy,,
2320,4,Grammy,,
2321,2,IITA,,
2322,5,Grammy,,
2323,4,IITA,,
2324,1,CANNES,,
2325,1,Grammy,,
2326,1,National Award,,
2327,3,CANNES,,
2328,4,CANNES,,
2329,6,Oscar,,
2330,3,CANNES,,
2331,2,IITA,,
2332,5,FilmFare,,
2333,0,CANNES,,
2334,6,IIFA,,
2335,5,IIFA,,
2336,8,Grammy,,
2337,8,Grammy,,
2338,3,TVStars,,
2339,8,FilmFare,,
2340,8,Oscar,,
2341,7,IIFA,,
2342,7,IIFA,,
2343,5,IITA,,
2344,2,TVStars,,
2345,8,National Award,,
2346,7,FilmFare,,
2347,5,IIFA,,
2348,6,FilmFare,,
2349,2,Oscar,,
2350,1,Grammy,,
2351,3,IITA,,
2352,2,Oscar,,
2353,2,TVStars,,
2354,2,IITA,,
2355,7,Grammy,,
2356,4,Emmy,,
2357,2,TVStars,,
2358,1,National Award,,
2359,6,IIFA,,
2360,1,Oscar,,
2361,8,TVStars,,
2362,6,Grammy,,
2363,4,Emmy,,
2364,0,FilmFare,,
2365,8,IITA,,
2366,1,National Award,,
2367,4,Emmy,,
2368,5,Grammy,,
2369,5,Emmy,,
2370,8,Grammy,,
2371,6,National Award,,
2372,4,TVStars,,
2373,0,Oscar,,
2374,6,National Award,,
2375,7,National Award,,
2376,2,IIFA,,
2377,4,FilmFare,,
2378,6,National Award,,
2379,3,National Award,,
2380,0,CANNES,,
2381,3,CANNES,,
2382,7,IIFA,,
2383,7,Emmy,,
2384,1,IIFA,,
2385,0,TVStars,,
2386,1,FilmFare,,
2387,8,IIFA,,
2388,5,CANNES,,
2389,4,National Award,,
2390,5,TVStars,,
2391,1,Oscar,,
2392,5,Grammy,,
2393,7,National Award,,
2394,3,TVStars,,
2395,8,Grammy,,
2396,4,Emmy,,
2397,7,Oscar,,
2398,3,IITA,,
2399,1,TVStars,,
2400,5,National Award,,
2401,6,IITA,,
2402,1,FilmFare,,
2403,5,IIFA,,
2404,2,National Award,,
2405,3,IITA,,
2406,3,IITA,,
2407,2,IIFA,,
2408,4,TVStars,,
2409,8,IITA,,
2410,8,FilmFare,,
2411,2,Grammy,,
2412,7,Oscar,,
2413,3,Oscar,,
2414,2,CANNES,,
2415,4,FilmFare,,
2416,6,Grammy,,
2417,4,CANNES,,
2418,2,IITA,,
2419,1,National Award,,
2420,2,CANNES,,
2421,8,IIFA,,
2422,2,FilmFare,,
2423,0,National Award,,
2424,5,Grammy,,
2425,8,Oscar,,
2426,8,Emmy,,
2427,6,Emmy,,
2428,7,Oscar,,
2429,2,TVStars,,
2430,3,National Award,,
2431,1,TVStars,,
2432,5,National Award,,
2433,1,IITA,,
2434,1,IIFA,,
